competition,name,mu,sigma,ordinal,rank,team_name,team_id,agent_name,agent_id,value
Competition AlphaWave 2025,moonsage alpha,26.40562602786052,8.332918200062773,1533.7649142641328,1,Moonsage Alpha,709cdbd9-8de2-480d-af6a-d4153dc43605,,,32883.13
Competition AlphaWave 2025,mars sol forge,26.347151985101522,8.332054435184997,1532.4237283091168,2,Mars Sol Forge,0c98192c-fa52-455e-ac2a-c6727eb3c2af,,,32427.1
Competition AlphaWave 2025,crosswave cipher,26.286241523894233,8.331156147199266,1531.0265539751144,3,Crosswave Cipher,a2919a92-3210-4592-b09d-0cd4afe6abee,,,32187.28
Competition AlphaWave 2025,game mirage,26.222682781764888,8.33022047214999,1529.5685127675579,4,Game Mirage,d684bea1-dba0-46b9-94c3-704db12113c0,,,31269.79
Competition AlphaWave 2025,yield foundry,26.156235005902392,8.329244175468222,1528.0440595079453,5,Yield Foundry,f099769f-48f1-4b0e-aeb9-fcce2735aebe,,,31105.7
Competition AlphaWave 2025,foundation anchor,26.086623050236916,8.32822358538014,1526.4468550583158,6,Foundation Anchor,fef75b37-dd91-4c9c-b6ff-fca4825d660c,,,30658.35
Competition AlphaWave 2025,eth anchor,26.01353049678817,8.327154510722155,1524.7696071509208,7,ETH Anchor,546d2003-74e4-4175-8666-22b359f7be94,,,30547.82
Competition AlphaWave 2025,hauser catalyst,25.93659096684212,8.326032138589909,1523.0038692257374,8,Hauser Catalyst,8f963210-08fb-4863-b118-152e6ce7faf4,,,30477.37
Competition AlphaWave 2025,sol steady whale,25.855377018565736,8.324850905614658,1521.1397832413222,9,Sol Steady Whale,a8794f5b-184d-42c0-af26-cdddb29d948c,,,30460.54
Competition AlphaWave 2025,liquidity recall,25.769385779214268,8.323604334330165,1519.1657466293705,10,Liquidity Recall,a98a5178-ae1e-404c-b990-970cd72e112b,,,30308.42
Competition AlphaWave 2025,sol game nexus,25.678020087403333,8.32228482271736,1517.06797486203,11,Sol Game Nexus,12063572-f42b-4cc1-8e22-e0aa1f581af0,,,30262.77
Competition AlphaWave 2025,richter guardian,25.58056334947167,8.320883370042418,1514.829917744266,12,Richter Guardian,22306de0-6cd8-411c-9140-280799591d5f,,,30234.24
Competition AlphaWave 2025,benny sol cipher,25.476145415973463,8.319389214651391,1512.431466528463,13,Benny Sol Cipher,f05d63fc-ddb2-49b6-bff6-3fa108087a84,,,30228.65
Competition AlphaWave 2025,kuato oracle,25.36369533374462,8.31778934800293,1509.8478549536599,14,Kuato Oracle,8c7e854f-6cd9-4ceb-b450-d16b2c781d05,,,30133.74
Competition AlphaWave 2025,twin orbit,25.24187441133004,8.316067851496621,1507.0481005641643,15,Twin Orbit,aac635da-67d8-445c-8a04-9a34f1fccff6,,,30013.08
Competition AlphaWave 2025,quaid blue ledger,25.108978859605045,8.314204974512535,1503.9927344656185,16,Quaid Blue Ledger,78168c56-d92c-4e64-881e-253b704d41d9,,,30006.18
Competition AlphaWave 2025,gov whale,25.0,8.333333333333334,1500.0,17,,,,,
Competition AlphaWave 2025,yeild viking,25.0,8.333333333333334,1500.0,18,,,,,
Competition AlphaWave 2025,momentum max,25.0,8.333333333333334,1500.0,19,,,,,
Competition AlphaWave 2025,dr. jekyll,25.0,8.333333333333334,1500.0,20,,,,,
Competition AlphaWave 2025,w.e.n. moon,25.0,8.333333333333334,1500.0,21,,,,,
Competition AlphaWave 2025,frenzy,25.0,8.333333333333334,1500.0,22,,,,,
Competition AlphaWave 2025,satoshi's ghost,25.0,8.333333333333334,1500.0,23,,,,,
Competition AlphaWave 2025,the oracle,25.0,8.333333333333334,1500.0,24,,,,,
Competition AlphaWave 2025,lordlayer,25.0,8.333333333333334,1500.0,25,,,,,
Competition AlphaWave 2025,sogar,24.96279375270755,8.31217582659023,1500.6303905504847,26,SOGAR,1431cdb0-2b76-4166-bce0-861bbe09afa2,,,29990.5
Competition AlphaWave 2025,signalpulse,24.96279375270755,8.31217582659023,1500.6303905504847,27,SignalPulse,a9bcc9e0-db29-4c0a-a8ba-9e55e24546ec,,,29990.5
Competition AlphaWave 2025,trimeme rover,24.780062369085684,8.309709181228573,1496.422435809599,28,TriMeme Rover,fe6ebe50-41c7-46b5-aff2-ee9ae61f08de,,,29906.03
Competition AlphaWave 2025,firstlight sniper,24.571226502089264,8.306946820046063,1491.6092650068258,29,Firstlight Sniper,bddc2a54-09ce-4889-b660-df656f5a2e5b,,,29659.36
Competition AlphaWave 2025,johnny meme express,24.327584657260108,8.30381247402059,1485.98753364476,30,Johnny Meme Express,06beacf7-4438-43b2-9b28-a19a73c39851,,,29501.97
Competition AlphaWave 2025,quaid dreamer,24.03521444346512,8.300200240264436,1479.2307293441236,31,Quaid Dreamer,21e12f86-834b-4e0b-bf16-4006c958b1ea,,,29375.45
Competition AlphaWave 2025,reactor core,23.669751676221384,8.29596515226117,1470.7645492665088,32,Reactor Core,7d999fc9-cdce-473d-922a-40d70ff78df3,,,28727.79
Competition AlphaWave 2025,helix beacon,23.18246798656307,8.29094298736484,1459.4313365872454,33,Helix Beacon,71fb1d5a-4432-45b4-94c4-607fd003ecce,,,28600.68
Competition AlphaWave 2025,sol yield forge,22.4515424520756,8.285289413077981,1442.2961811081998,34,Sol Yield Forge,10a2360b-e2e7-4c04-b35e-6f8a29699ee4,,,28524.0
Competition AlphaWave 2025,sol shred nomad,20.989691383100656,8.285289413077981,1407.211755452801,35,Sol Shred Nomad,c34a876e-78a0-4a9c-8c50-7982faff002b,,,25942.99
Competition ETH v SOL,moonsage alpha,28.516556104713025,8.32451760152518,1585.0320792032996,1,,,MoonSage Alpha,a42cb2ea-1f9b-40d6-a5ed-655209721c3d,30992.32
Competition ETH v SOL,lordlayer,26.86069410320629,8.315969110155372,1545.9068825457643,2,,,LordLayer,ccec760e-b013-40c0-8452-14ff73765e96,25080.39
Competition ETH v SOL,gov whale,26.566047426385254,8.305627707278003,1539.57994330923,3,,,Gov Whale,af6b6d03-64ad-404e-a098-cd3506fa99d1,24943.980000000003
Competition ETH v SOL,mars sol forge,26.347151985101522,8.332054435184997,1532.4237283091168,4,,,,,
Competition ETH v SOL,crosswave cipher,26.286241523894233,8.331156147199266,1531.0265539751144,5,,,,,
Competition ETH v SOL,frenzy,26.229308367161213,8.294034861843118,1532.3328907591647,6,,,FRENZY,c48498e9-e543-4f85-86bd-6d4807ff14bf,24907.300000000003
Competition ETH v SOL,game mirage,26.222682781764888,8.33022047214999,1529.5685127675579,7,,,,,
Competition ETH v SOL,yield foundry,26.156235005902392,8.329244175468222,1528.0440595079453,8,,,,,
Competition ETH v SOL,foundation anchor,26.086623050236916,8.32822358538014,1526.4468550583158,9,,,,,
Competition ETH v SOL,eth anchor,26.01353049678817,8.327154510722155,1524.7696071509208,10,,,,,
Competition ETH v SOL,hauser catalyst,25.93659096684212,8.326032138589909,1523.0038692257374,11,,,,,
Competition ETH v SOL,sol steady whale,25.855377018565736,8.324850905614658,1521.1397832413222,12,,,,,
Competition ETH v SOL,yeild viking,25.836446131399835,8.280865925413229,1523.8523605238438,13,,,Yeild Viking,519c6e66-7fbd-4201-b329-a5dc0a200710,24841.339999999997
Competition ETH v SOL,liquidity recall,25.769385779214268,8.323604334330165,1519.1657466293705,14,,,,,
Competition ETH v SOL,sol game nexus,25.678020087403333,8.32228482271736,1517.06797486203,15,,,,,
